Video ID,Ground Truth Category,Frames Used,Base Gemma Output,Fine-Tuned Gemma Output,Video-LLaVA Output,Predicted Activity,Threat Assessment,Threat Level,Inference Time,Notes
Abuse016_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse016_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse016_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse018_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse018_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse018_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse019_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse019_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse019_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse022_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse022_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse022_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse032_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse032_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse032_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse041_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse041_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse041_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
**Threat Level:** Low
**Reasoning:** The caregiver is adjusting the bedding. No violence is visible.","**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",N/A - Skip (Not installed/configured),A person is performing physical abuse.,"**What is happening?** An act of physical abuse/mistreatment is taking place.
**Threat Level:** High
**Reasoning:** The visual indicators show a forceful confrontation, representing a critical security risk.",High,Base: 35.41s | FT Guided: 6.20s,Two-Stage Hybrid (FT Caption + Base Reasoning)
Abuse044_x264,Abuse,datasets/ucf-crime-mini/Abuse/Abuse044_x264/frame_01.jpg;datasets/ucf-crime-mini/Abuse/Abuse044_x264/frame_08.jpg,"**What is happening?** An interaction between a patient in a bed and a caregiver.
