Video ID,Category,First Frame Path
Arrest029_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest029_x264/frame_0.jpg
Abuse022_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse022_x264/frame_0.jpg
Arrest030_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest030_x264/frame_0.jpg
Burglary089_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary089_x264/frame_0.jpg
Normal_Videos_365_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_365_x264/frame_0.jpg
Assault033_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault033_x264/frame_0.jpg
Normal_Videos_696_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_696_x264/frame_0.jpg
Burglary083_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary083_x264/frame_0.jpg
Abuse032_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse032_x264/frame_0.jpg
Fighting037_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting037_x264/frame_0.jpg
Burglary010_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary010_x264/frame_0.jpg
Arrest033_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest033_x264/frame_0.jpg
Fighting013_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting013_x264/frame_0.jpg
Burglary009_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary009_x264/frame_0.jpg
Arrest042_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest042_x264/frame_0.jpg
Burglary062_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary062_x264/frame_0.jpg
Normal_Videos_010_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_010_x264/frame_0.jpg
Normal_Videos_189_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_189_x264/frame_0.jpg
Fighting036_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting036_x264/frame_0.jpg
Arrest043_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest043_x264/frame_0.jpg
Burglary059_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary059_x264/frame_0.jpg
Assault051_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault051_x264/frame_0.jpg
Fighting005_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting005_x264/frame_0.jpg
Normal_Videos_606_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_606_x264/frame_0.jpg
Fighting022_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting022_x264/frame_0.jpg
Assault045_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault045_x264/frame_0.jpg
Assault018_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault018_x264/frame_0.jpg
Normal_Videos_941_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_941_x264/frame_0.jpg
Fighting048_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting048_x264/frame_0.jpg
Fighting030_x264,Fighting,C:/Drdo threat detection/evaluation/extracted_frames/Fighting030_x264/frame_0.jpg
Abuse016_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse016_x264/frame_0.jpg
Abuse019_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse019_x264/frame_0.jpg
Burglary098_x264,Burglary,C:/Drdo threat detection/evaluation/extracted_frames/Burglary098_x264/frame_0.jpg
Abuse041_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse041_x264/frame_0.jpg
Abuse044_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse044_x264/frame_0.jpg
Arrest015_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest015_x264/frame_0.jpg
Assault002_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault002_x264/frame_0.jpg
Assault011_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault011_x264/frame_0.jpg
Assault029_x264,Assault,C:/Drdo threat detection/evaluation/extracted_frames/Assault029_x264/frame_0.jpg
Abuse018_x264,Abuse,C:/Drdo threat detection/evaluation/extracted_frames/Abuse018_x264/frame_0.jpg
Arrest011_x264,Arrest,C:/Drdo threat detection/evaluation/extracted_frames/Arrest011_x264/frame_0.jpg
Normal_Videos_781_x264,normal,C:/Drdo threat detection/evaluation/extracted_frames/Normal_Videos_781_x264/frame_0.jpg
