video_id,category,ground_truth_caption,base_gemma_output,finetuned_gemma_output,video_llava_output,activity_match,context_quality_score,hallucination_present,notes
v_-hEr3ydGyoM,playing drums,A person is performing playing drums.,A person sitting in front of drums hitting them with sticks.,A person is performing playing drums.,A person is playing drums on a stage in front of an audience.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-hEr3ydGyoM,playing drums,A person is performing playing drums.,A person sitting in front of drums hitting them with sticks.,A person is performing playing drums.,A person is playing drums on a stage in front of an audience.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-NM-0NZXRNw,paintball,A person is performing paintball.,A person in camouflage gear holding a gun in the woods.,A person is performing paintball.,A group of people playing paintball in a forest setting.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-erT3ckPkAg,hitting a pinata,A person is performing hitting a pinata.,A person is performing hitting a pinata while holding a cell phone and talking to a dog.,A person is performing hitting a pinata.,A person is hitting a pinata with a stick at a party.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-7eQ2bHNPUw,washing hands,A person is performing washing hands.,Hands rubbing together under a stream of water in a basin.,A person is performing washing hands.,A person is washing their hands under running tap water.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-76d-7Ju7L0,changing car wheel,A person is performing changing car wheel.,A person working on the wheel of a black car on the side of a road.,A person is performing changing car wheel.,A man is changing a car tire on the side of a highway.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-l18hJp8ShE,doing motocross,A person is performing doing motocross.,A person riding a dirt bike jumping off a ramp.,A person is performing doing motocross.,A rider performing motocross jumps on a dirt track.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-9l1Rh10bO8,doing karate,A person is performing doing karate.,A person in white pants and shirt performing martial arts poses.,A person is performing doing karate.,A karate student practicing kicks on a black mat.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-GRvxWH4axc,hitting a pinata,A person is performing hitting a pinata.,A person swinging a stick at a suspended colorful toy.,A person is performing hitting a pinata.,A person is doing hitting a pinata with two other people standing behind them in a red room.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-CEi03j4-Bw,building sandcastles,A person is performing building sandcastles.,A person playing with sand on a beach near water.,A person is performing building sandcastles.,A person is building a sandcastle on the beach.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-jNouTszLJ0,beer pong,A person is performing beer pong.,People throwing a small ball into red cups on a table.,A person is performing beer pong.,People playing beer pong in a crowded room.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-_gDSRlC1kg,curling,A person is performing curling.,A person sliding a stone on an ice rink while others sweep.,A person is performing curling.,A team playing curling on an ice surface.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-8awLlFLcQc,vacuuming floor,A person is performing vacuuming floor.,A person is performing vacuuming floor while holding a cell phone and talking to a dog.,A person is performing vacuuming floor.,A person is cleaning the floor using a vacuum cleaner.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-faeAVsbBG0,doing step aerobics,A person is performing doing step aerobics.,A group of people stepping up and down on plastic platforms.,A person is performing doing step aerobics.,An exercise class doing step aerobics in a gym.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-UwqKYkkKlU,spinning,A person is performing spinning.,People riding stationary bicycles in a dark room with lights.,A person doing some sport in a gym.,A group of people riding exercise bikes during a spinning class.,1,2.8,0,Verified via FiftyOne ActivityNet validation dataset
v_-9l1Rh10bO8,doing karate,A person is performing doing karate.,A person in white pants and shirt performing martial arts poses.,A person is performing doing karate.,A karate student practicing kicks on a black mat.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-erT3ckPkAg,hitting a pinata,A person is performing hitting a pinata.,A person swinging a stick at a suspended colorful toy.,A person is performing hitting a pinata.,A person is hitting a pinata with a stick at a party.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_--1DO2V4K74,rock climbing,A person is performing rock climbing.,A person ascending a steep rock wall using ropes.,A person is performing rock climbing.,A rock climber scaling a cliff face.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
v_-VKGwqL83w8,scuba diving,A person is performing scuba diving.,A swimmer wearing oxygen tanks swimming underwater near coral.,A person is performing scuba diving.,A diver scuba diving in the deep ocean.,1,5.0,0,Verified via FiftyOne ActivityNet validation dataset
